lrk_id,type_oko,lrk_status,inschrijfdatum,uitschrijfdatum,kvk_nummer,vestigingsnummer,rechtsvorm,postcode,woonplaats,signal
116191004,BSO,Uitgeschreven,15-02-2018,01-08-2021,41046861,,,6834CZ,Arnhem,kvk_not_in_active_register
116427383,KDV,Uitgeschreven,16-04-2012,01-11-2019,41087068,,,5674RR,Nuenen,kvk_not_in_active_register
116746166,KDV,Uitgeschreven,01-01-2010,07-02-2019,66145732,000003830012,,7844LL,Veenoord,kvk_not_in_active_register
116962434,KDV,Uitgeschreven,01-01-2010,06-05-2019,30200981,000026006642,,3532HX,Utrecht,kvk_not_in_active_register
117237851,KDV,Uitgeschreven,01-01-2010,01-12-2018,32149363,000000374288,,1271NA,Huizen,kvk_not_in_active_register
117296028,BSO,Uitgeschreven,03-02-2015,05-11-2018,52438392,,,5351ED,Berghem,kvk_not_in_active_register
117412946,KDV,Uitgeschreven,03-07-2012,01-08-2020,58133259,000028228634,,3781GG,Voorthuizen,kvk_not_in_active_register
117474836,KDV,Uitgeschreven,15-01-2013,26-08-2019,56672721,566727210000,,1796BP,De Koog,kvk_not_in_active_register
117613800,GOB,Uitgeschreven,01-01-2010,01-09-2014,37136890,000018071503,,1033SC,Amsterdam,kvk_not_in_active_register
117753105,BSO,Uitgeschreven,18-08-2017,16-03-2018,27301844,,,2544AH,'s-Gravenhage,kvk_not_in_active_register
117789161,KDV,Uitgeschreven,01-09-2011,01-09-2018,01150803,,,9982JC,Uithuizermeeden,kvk_not_in_active_register
117904028,BSO,Uitgeschreven,09-07-2018,18-08-2020,52142329,,,8435WE,Donkerbroek,kvk_not_in_active_register
117992653,KDV,Uitgeschreven,05-02-2015,26-08-2019,02079088,000026330032,,9965RD,Leens,kvk_not_in_active_register
118007907,GOB,Uitgeschreven,01-01-2010,01-01-2019,17203801,000003324346,,5688BE,Oirschot,kvk_not_in_active_register
118117117,KDV,Uitgeschreven,01-01-2010,02-04-2020,62841874,000031815553,,5032RT,Tilburg,kvk_not_in_active_register
118161374,BSO,Uitgeschreven,01-01-2010,31-12-2017,12048248,,,5813BC,Ysselsteyn,kvk_not_in_active_register
118519761,KDV,Uitgeschreven,01-01-2010,31-01-2024,39099708,000011226528,,1333LS,Almere,kvk_not_in_active_register
118601283,BSO,Uitgeschreven,01-01-2010,04-01-2021,30200981,000026008688,,3515EA,Utrecht,kvk_not_in_active_register
118775303,BSO,Uitgeschreven,28-08-2017,01-05-2022,68650043,000037069454,,3068HG,Rotterdam,kvk_not_in_active_register
118786519,KDV,Uitgeschreven,22-12-2010,21-06-2018,12053920,,,6104BD,Koningsbosch,kvk_not_in_active_register
119097400,GOB,Uitgeschreven,21-02-2017,09-11-2017,62051490,000031100767,,7328JE,Apeldoorn,kvk_not_in_active_register
119303863,BSO,Uitgeschreven,01-01-2010,02-10-2018,24302888,000025713906,,2907TK,Capelle aan den IJssel,kvk_not_in_active_register
119329268,BSO,Uitgeschreven,13-01-2016,15-01-2021,68907575,000033144192,,2521BR,'s-Gravenhage,kvk_not_in_active_register
119439712,KDV,Uitgeschreven,16-11-2015,31-07-2020,08106780,000028003934,,8097SG,Oosterwolde Gld,kvk_not_in_active_register
119626160,BSO,Uitgeschreven,01-01-2015,22-01-2018,32172289,000012611840,,3762SX,Soest,kvk_not_in_active_register
119641823,KDV,Uitgeschreven,05-04-2011,01-05-2019,41062208,000022437959,,6591JG,Gennep,kvk_not_in_active_register
119682709,BSO,Ingeschreven,22-12-2025,,99012340,000064135128,Besloten Vennootschap,8262CN,Kampen,kvk_not_in_active_register
119971380,BSO,Uitgeschreven,18-08-2014,05-03-2018,58006168,000030471168,,7556WH,Hengelo,kvk_not_in_active_register
120151066,KDV,Uitgeschreven,27-08-2015,19-05-2021,63602210,000032502923,,1688WV,Nibbixwoud,kvk_not_in_active_register
120233526,GOB,Uitgeschreven,01-12-2014,01-11-2018,61019399,000030156386,,1702LT,Heerhugowaard,kvk_not_in_active_register
120418356,BSO,Uitgeschreven,01-02-2009,31-12-2022,24449576,,,2761TT,Zevenhuizen,kvk_not_in_active_register
120647606,KDV,Uitgeschreven,31-03-2016,01-08-2020,65992172,000031601901,,9105KG,Rinsumageast,kvk_not_in_active_register
120698687,GOB,Uitgeschreven,01-01-2010,26-03-2019,65284100,000065284100,,5431DC,Cuijk,kvk_not_in_active_register
120718200,BSO,Uitgeschreven,25-09-2018,01-01-2020,58083979,,,1338RL,Almere,kvk_not_in_active_register
120852433,KDV,Uitgeschreven,06-07-2012,01-01-2018,41051046,,,6921ZP,Duiven,kvk_not_in_active_register
