budget_name,regeling,instrument,year,amount_k,baseline_k,deviation_pct,deviation_direction,n_years
Sociale Zaken en Werkgelegenheid,Agentschap RIVM,Bijdrage aan agentschappen,2023,9938,3267,204.2,over,7
"Onderwijs, Cultuur en Wetenschap",Overig bekostiging Primair Onderwijs,Bekostiging,2023,54766,18032,203.7,over,7
Defensie,Kennisopbouw TNO via EZ,Bijdrage aan (andere) begrotingshoofdstukken,2023,135832,44954,202.2,over,5
Buitenlandse Zaken,VN-contributie voor crisisbeheersingsoperaties,Bijdrage aan (inter-)nationale organisaties,2023,151152,50052,202.0,over,8
Binnenlandse Zaken en Koninkrijksrelaties,Woningmarkt,Bijdrage aan ZBOs en RWTs,2023,6754,2244,201.0,over,5
"Onderwijs, Cultuur en Wetenschap",Regionaal programma,Bekostiging,2023,61066,20372,199.8,over,8
"Onderwijs, Cultuur en Wetenschap",Europees Universitair Instituut Florence (EUI),Bijdrage aan (inter-)nationale organisaties,2023,3422,1152,197.1,over,8
Infrastructuur en Waterstaat,Besluit financiële bepalingen bodemsanering: Bedrijvenregeling bodemsanering,Subsidies (regelingen),2023,4250,1431,196.9,over,6
Buitenlandse Zaken,Verenigde Naties,Bijdrage aan (inter-)nationale organisaties,2022,33649,11355,196.3,over,8
Binnenlandse Zaken en Koninkrijksrelaties,Bestuur en regio,Subsidies (regelingen),2023,6908,2359,192.8,over,5
"Landbouw, Natuur en Voedselkwaliteit",Regeling Versneld Natuurherstel,Subsidies (regelingen),2023,32060,11004,191.4,over,4
"Onderwijs, Cultuur en Wetenschap",Nationaal Archief (NA),Bijdrage aan agentschappen,2023,121972,42201,189.0,over,8
Economische Zaken en Klimaat,Programmatische Samenwerkingsverbanden,Bijdrage aan (inter-)nationale organisaties,2023,35720,12359,189.0,over,6
Buitenlandse Zaken,IAEA,Bijdrage aan (inter-)nationale organisaties,2021,6281,2184,187.6,over,8
Economische Zaken en Klimaat,Verduurzaming industrie,Subsidies (regelingen),2021,9149,3201,185.8,over,4
"Onderwijs, Cultuur en Wetenschap",Commissariaat voor de Media,Bijdrage aan ZBOs en RWTs,2023,14218,4998,184.5,over,8
Binnenlandse Zaken en Koninkrijksrelaties,Diverse bijdragen,Bijdrage aan agentschappen,2022,12593,4433,184.1,over,6
